@RELATION full
@ATTRIBUTE avgAlt REAL
@ATTRIBUTE maxAlt REAL
@ATTRIBUTE curAlt REAL
@ATTRIBUTE fov REAL
@ATTRIBUTE lastAction {explore, shoot, idle}
@ATTRIBUTE life REAL
@ATTRIBUTE result {VICTORY, DEFEAT}

@DATA
-125.282974,-103.723206,-119.05641,15104.791,explore,2,DEFEAT
-114.818146,-105.6418,-107.54073,16779.139,explore,2,DEFEAT
-119.62283,-107.38354,-117.14456,19957.469,explore,2,DEFEAT
-122.27049,-109.37751,-119.72834,19347.059,explore,2,DEFEAT
-116.413765,-108.189384,-113.84289,20962.71,explore,2,DEFEAT
-121.93899,-107.71203,-117.48792,17154.62,explore,2,DEFEAT
-123.03544,-110.93226,-116.32767,15965.274,explore,2,DEFEAT
-119.12534,-108.787605,-115.10046,18288.236,explore,2,DEFEAT
-119.44536,-103.546036,-112.52783,16632.193,explore,2,DEFEAT
-122.58048,-113.12305,-115.61265,16771.385,shoot,2,DEFEAT
-109.74832,-98.0504,-103.49038,18803.094,explore,2,DEFEAT
-248.88754,-244.01782,-243.51416,17147.01,explore,2,DEFEAT
-253.97112,-244.2541,-252.99666,17252.219,explore,2,DEFEAT
-251.13933,-244.04547,-243.4508,15443.12,explore,2,DEFEAT
-249.51483,-244.01718,-244.88188,16995.965,explore,2,DEFEAT
-250.06192,-244.1836,-243.28322,16442.238,explore,2,DEFEAT
-130.74113,-111.42399,-130.0672,19334.797,shoot,2,VICTORY
-128.1801,-111.75622,-125.5511,18851.912,explore,6,VICTORY
-130.92654,-105.605675,-128.28598,17605.172,shoot,10,VICTORY
-130.24864,-112.26007,-128.26509,18810.832,shoot,8,VICTORY
-121.98849,-104.47104,-115.89894,15623.019,explore,2,VICTORY
-122.545616,-107.83174,-121.14479,19493.973,shoot,4,VICTORY
-120.24606,-108.778824,-115.597824,17122.023,shoot,6,VICTORY
-121.31767,-105.95833,-118.3009,18494.98,shoot,4,VICTORY
-123.33573,-107.532074,-120.77835,18062.922,shoot,6,VICTORY
-136.23958,-117.78481,-135.9205,19453.922,explore,4,VICTORY
-253.7132,-244.30183,-252.69133,17985.238,explore,4,VICTORY
