AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-249.97514;-244.0028;-241.16685;16667.492;explore;2;DEFEAT
-248.45782;-244.00742;-241.98824;17238.646;explore;2;DEFEAT
-251.90599;-244.26294;-247.89171;15938.931;explore;2;DEFEAT
-250.54372;-244.17598;-246.58447;17451.703;explore;2;DEFEAT
-249.58952;-244.03702;-242.24467;17067.863;explore;2;DEFEAT
-250.2157;-244.05511;-244.5942;16730.22;explore;2;DEFEAT
-251.27574;-244.16734;-246.85352;16880.059;explore;2;DEFEAT
-250.17648;-244.08118;-242.93536;16433.344;explore;2;DEFEAT
-247.87372;-244.0028;-243.29659;19083.328;explore;2;DEFEAT
-249.46019;-244.00029;-242.45222;17318.094;explore;2;DEFEAT
-250.35295;-244.0737;-244.40967;16646.238;explore;2;DEFEAT
-249.1987;-244.00609;-241.17912;17619.219;explore;2;DEFEAT
-251.79865;-244.07793;-245.44136;15510.65;explore;2;DEFEAT
-248.83122;-244.09137;-244.86555;18571.523;explore;2;DEFEAT
-249.02875;-244.00703;-242.11676;17874.346;explore;2;DEFEAT
-250.59773;-244.09184;-242.64946;15951.266;explore;2;DEFEAT
