AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-116.26046;-99.55819;-108.93217;16521.39;explore;2;DEFEAT
-122.66339;-107.83286;-106.59704;12653.165;explore;2;DEFEAT
-127.417046;-101.34403;-121.89194;13887.477;explore;2;DEFEAT
-126.27135;-113.1897;-122.506325;16996.156;explore;2;DEFEAT
-123.22803;-110.15295;-117.11926;15932.152;explore;2;DEFEAT
-128.24104;-110.73041;-126.901924;18220.336;shoot;2;DEFEAT
-117.8497;-107.91942;-108.72615;16874.95;explore;2;DEFEAT
-119.65439;-113.37796;-117.413574;20869.383;explore;2;DEFEAT
-110.090355;-92.699036;-101.74896;16198.042;explore;2;DEFEAT
-124.23372;-110.65137;-121.70711;18106.184;explore;2;DEFEAT
-123.70234;-102.53888;-117.81484;15783.816;explore;2;DEFEAT
-129.9491;-112.061646;-127.74063;17756.104;shoot;2;DEFEAT
-119.82515;-106.25057;-113.128815;15577.834;explore;2;DEFEAT
-120.402176;-108.6459;-109.59452;15604.259;explore;2;DEFEAT
