AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-120.399796;-107.48578;-114.4507;17973.967;explore;2;DEFEAT
-133.33662;-110.03507;-130.60677;15408.648;shoot;2;DEFEAT
-128.63841;-107.543495;-120.48208;5333.5835;explore;2;DEFEAT
-132.30864;-111.32132;-130.01833;12796.204;explore;2;DEFEAT
-129.60445;-114.94689;-126.422424;16953.121;explore;2;DEFEAT
-121.90034;-110.28771;-114.09935;16110.0;explore;2;DEFEAT
-129.64075;-127.349304;-126.113266;15114.226;explore;2;DEFEAT
-130.28606;-106.68757;-127.60178;16224.875;explore;2;DEFEAT
-124.12946;-114.07347;-115.50028;16338.045;explore;2;DEFEAT
-127.66222;-113.60546;-121.80697;16548.44;explore;2;DEFEAT
-120.85532;-107.694214;-111.92195;14827.736;explore;2;DEFEAT
-120.24313;-106.74772;-117.426834;11105.217;explore;2;DEFEAT
-126.41327;-108.00911;-120.3964;15583.501;explore;2;DEFEAT
