AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-123.34661;-103.04429;-120.48565;19855.012;shoot;2;DEFEAT
-125.43733;-113.56716;-122.22641;12847.742;explore;2;DEFEAT
-133.67125;-114.983734;-128.22243;13664.181;explore;2;DEFEAT
-122.94592;-114.345055;-112.54099;17774.498;explore;2;DEFEAT
-120.84323;-115.06803;-113.94388;10588.23;explore;2;DEFEAT
-131.03336;-112.54412;-126.476746;14791.021;explore;2;DEFEAT
-129.64502;-120.3757;-119.44781;10749.74;explore;2;DEFEAT
-120.45365;-106.99397;-114.38879;16366.861;explore;2;DEFEAT
-120.57279;-112.91361;-117.15033;19552.043;explore;2;DEFEAT
-122.483635;-108.16642;-113.968735;13981.979;explore;2;DEFEAT
-126.22114;-109.39606;-123.6899;17541.312;explore;2;DEFEAT
-116.76458;-115.076126;-126.11144;-22747.3;explore;2;DEFEAT
-121.240005;-104.1438;-114.70744;15892.848;explore;2;DEFEAT
