AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-131.07684;-109.58944;-128.68048;17963.69;explore;10;VICTORY
-127.73836;-110.508865;-124.60309;17387.96;explore;4;VICTORY
-133.863;-112.09126;-133.59238;19518.926;shoot;10;VICTORY
-119.2845;-107.36105;-116.06016;19172.0;shoot;10;VICTORY
-123.4291;-112.2369;-117.37357;17224.508;explore;6;VICTORY
-123.62148;-112.34397;-117.90498;16009.615;shoot;2;VICTORY
-128.58826;-108.83997;-126.06092;18098.354;explore;2;VICTORY
-121.66884;-121.24416;-121.64821;24957.283;shoot;10;VICTORY
-125.30592;-116.44065;-124.195366;20669.963;shoot;4;VICTORY
-124.84826;-110.58429;-120.973335;16833.164;explore;2;VICTORY
-123.40093;-108.69807;-119.37501;17460.781;shoot;6;VICTORY
