AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-250.45065;-244.01889;-242.46715;15890.305;explore;2;DEFEAT
-253.86516;-244.78377;-251.50087;16407.389;explore;2;DEFEAT
-250.2816;-244.00058;-242.72954;16236.045;explore;2;DEFEAT
-249.65834;-244.3999;-246.07497;17461.36;explore;2;DEFEAT
-249.48026;-244.12383;-243.24295;17117.924;shoot;2;DEFEAT
-249.95567;-246.30269;-246.09612;16589.188;explore;2;DEFEAT
-247.05193;-244.07169;-243.32599;19598.197;shoot;2;DEFEAT
-251.92738;-244.00804;-245.02611;6332.3945;explore;2;DEFEAT
-250.19295;-244.2051;-243.4357;16350.785;explore;2;DEFEAT
-250.60167;-244.0361;-240.89253;15641.553;explore;2;DEFEAT
-250.37003;-244.22281;-242.96681;16036.01;explore;2;DEFEAT
-250.49739;-244.03659;-242.4833;15864.27;explore;2;DEFEAT
-250.8245;-244.07999;-243.41145;15878.022;explore;2;DEFEAT
-255.0;-255.0;-242.89897;492.88297;explore;2;DEFEAT
-250.14145;-244.0007;-242.38046;16089.123;explore;2;DEFEAT
-249.2607;-244.02252;-241.10596;12230.571;explore;2;DEFEAT
-250.5221;-244.00595;-241.64189;15655.215;explore;2;DEFEAT
-249.6639;-244.0049;-244.0084;17511.793;explore;2;DEFEAT
-248.61551;-244.1599;-243.04733;15461.627;explore;2;DEFEAT
